"","Species","Length"
"1","Amioides polyacanthus",22
"2","Apogon americanus",10.1
"3","Apogon atradorsatus",8.9
"4","Apogon atricaudus",8
"5","Apogon aurolineatus",6.5
"6","Apogon axillaris",15
"7","Apogon binotatus",13
"8","Apogon campbelli",3.86
"9","Apogon caudicinctus",6.43
"10","Apogon ceramensis",8
"11","Apogon coccineus",6
"12","Apogon crassiceps",5
"13","Apogon dammermani",NA
"14","Apogon deetsie",5.09
"15","Apogon dhofar",14
"16","Apogon dianthus",4.8
"17","Apogon doryssa",8
"18","Apogon dovii",7.5
"19","Apogon erythrinus",4.01
"20","Apogon erythrosoma",3.76
"21","Apogon gouldi",6.55
"22","Apogon guadalupensis",13
"23","Apogon imberbis",15
"24","Apogon indicus",3.79
"25","Apogon kautamea",7.3
"26","Apogon lachneri",6.5
"27","Apogon lativittatus",5.84
"28","Apogon latus",NA
"29","Apogon leptocaulus",6
"30","Apogon maculatus",11.1
"31","Apogon marquesensis",4.57
"32","Apogon mosavi",NA
"33","Apogon nitidus",8
"34","Apogon pacificus",10
"35","Apogon phenax",7.5
"36","Apogon pillionatus",6.5
"37","Apogon planifrons",10.5
"38","Apogon posterofasciatus",6
"39","Apogon pseudomaculatus",11
"40","Apogon quadrisquamatus",7
"41","Apogon retrosella",10
"42","Apogon robbyi",3.59
"43","Apogon robinsi",10.1
"44","Apogon rubellus",NA
"45","Apogon rubrifuscus",13.2
"46","Apogon seminigracaudus",5
"47","Apogon semiornatus",7.5
"48","Apogon susanae",3.95
"49","Apogon talboti",14
"50","Apogon townsendi",6.5
"51","Apogon tricinctus",5.65
"52","Apogon unicolor",14
"53","Apogon unitaeniatus",6
"54","Apogonichthyoides atripes",9
"55","Apogonichthyoides brevicaudatus",19.5
"56","Apogonichthyoides cantoris",NA
"57","Apogonichthyoides cathetogramma",12
"58","Apogonichthyoides chrysurus",4
"59","Apogonichthyoides erdmanni",3.92
"60","Apogonichthyoides euspilotus",5.95
"61","Apogonichthyoides gardineri",4.4
"62","Apogonichthyoides heptastygma",3.3
"63","Apogonichthyoides maculipinnis",4.02
"64","Apogonichthyoides melas",10
"65","Apogonichthyoides miniatus",NA
"66","Apogonichthyoides niger",8
"67","Apogonichthyoides nigripinnis",10
"68","Apogonichthyoides opercularis",7
"69","Apogonichthyoides pharaonis",NA
